	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	todo2	C10H11NO3	193.073893	NA	C16595	21350392	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one
	p-Hydroxyphenylacetylglycine;;4-Hydroxyphenylacetylglycine	todo2	C10H11NO4	209.068808	HMDB00735	C05596	440732	p-Hydroxyphenylacetylglycine
	"3-Carbamoyl-2-phenylpropionic acid"	todo2	C10H11NO4	209.068808	NA	C16591	3025746	"3-Carbamoyl-2-phenylpropionic acid"
	4-Amino-4-deoxychorismate;;ADC	todo2	C10H11NO5	225.063722	NA	C11355	443142	4-Amino-4-deoxychorismate
	Tetralin;;1,2,3,4-Tetrahydronaphthalene	todo2	C10H12	132.0939	NA	C14114	8404	Tetralin
	Tryptamine	Xenobiotics	C10H12N2	160.100048	HMDB00303	C00398	1150	Tryptamine
	Anatabine;;(-)-Anatabine	todo2	C10H12N2	160.100048	HMDB04476	C10126	11388	Anatabine
	Serotonin	todo	C10H12N2O	176.094963	HMDB00259	C00780	5202	Serotonin
	N-Hydroxyl-tryptamine	todo2	C10H12N2O	176.094963	NA	C17203	13571630	N-hydroxyltryptamine
	2,6-Dihydroxy-N-methylmyosmine	todo2	C10H12N2O2	192.089878	NA	C16151	9543125	Dihydroxymethylmyosmine
	Kynurenine	"Amino acids"	C10H12N2O3	208.084792	HMDB00684	C00328	846;161166	Kynurenine
	Formyl-5-hydroxykynurenamine	todo2	C10H12N2O3	208.084792	HMDB12948	C05647	440743	Formyl-5-hydroxykynurenamine
	3-hydroxykynurenine	"Amino acids"	C10H12N2O4	224.079707	HMDB00732	C02794;C03227	6267	3-hydroxykynurenine
	"7-Aminocephalosporanic acid;;7-Aminocephalosporinic acid;;7-ACA;;(7R)-7-Aminocephalosporanate"	todo2	C10H12N2O5S	272.046692	NA	C07756	441328	"7-Aminocephalosporanic acid"
	Orotidine	Nucleotides	C10H12N2O8	288.059365	HMDB00788		92751	Orotidine
	2-deoxyinosine	Nucleotides	C10H12N4O4	252.085855	HMDB00071	C05512	65058	2-deoxyinosine
	Inosine	Nucleotides	C10H12N4O5	268.080769	HMDB00195	C00294	6021	Inosine
	Xanthosine	Nucleotides	C10H12N4O6	284.075684	HMDB00299	C01762	64959	Xanthosine
	"Urate-3-ribonucleoside;;Uric acid ribonucleoside"	todo2	C10H12N4O7	300.070599	HMDB16364	C05513	164933	Urate-3-ribonucleoside
x	cAMP	Nucleotides	C10H12N5O6P	329.05252	HMDB11616	C02353	2024	cAMP
x	"3,5-Cyclic AMP;;Cyclic adenylic acid;;Cyclic AMP;;Adenosine 3,5-phosphate;;Adenosine 3,5-cyclic phosphate;;cAMP"	todo2	C10H12N5O6P	329.05252	HMDB00058	C00575	6076	cAMP
x	cGMP	Nucleotides	C10H12N5O7P	345.047434	HMDB11629	C06194	92823	cGMP
x	"3,5-Cyclic GMP;;Guanosine 3,5-cyclic monophosphate;;Guanosine 3,5-cyclic phosphate;;Cyclic GMP;;cGMP"	todo2	C10H12N5O7P	345.047434	HMDB01314	C00942	24316	cGMP
	4-isopropylbenzaldehyde	todo	C10H12O	148.088815	HMDB02214;HMDB13761	C06577	326	4-isopropylbenzaldehyde
	Anethole;;t-Anethole;;trans-Anethole	todo2	C10H12O	148.088815	NA	C10428	637563	Anethole
	Estragole;;1-Methoxy-4-(2-propenyl)benzene;;Methylchavicol	todo2	C10H12O	148.088815	HMDB34121	C10452	8815	Estragole
	Cumate	todo	C10H12O2	164.08373	HMDB21670;HMDB35268	C06578	10820	Cumate
	"Phenylbutyric acid"	Xenobiotics	C10H12O2	164.08373	HMDB00329;HMDB01955;HMDB00543		4775	"Phenylbutyric acid"
x	Eugenol	todo2	C10H12O2	164.08373	HMDB05809	C10453	3314	Eugenol
x	Isoeugenol	todo2	C10H12O2	164.08373	HMDB05802	C10469	853433	Eugenol
	"Coniferyl alcohol"	todo	C10H12O3	180.078644	HMDB12915	C00590	1549095	"Coniferyl alcohol"
	Dihydroxy-cumate	todo	C10H12O4	196.073559		C06580	29587	Dihydroxy-cumate
	"5-Hydroxyconiferyl alcohol"	todo2	C10H12O4	196.073559	NA	C12205	5282095	"5-Hydroxyconiferyl alcohol"
	2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate	todo2	C10H12O6	228.063388	NA	C06581	54675778	2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate
	Orotidine-5-phosphate	Carbohydrates	C10H13N2O11P	368.025696	HMDB00218	C01103	160617	Orotidine-5-phosphate
	4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;;NNK	todo2	C10H13N3O2	207.100777	HMDB11603	C16453	47289	4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone
	4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone	todo2	C10H13N3O3	223.095691	NA	C19563	53297437	4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone
	4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone	todo2	C10H13N3O3	223.095691	NA	C19566	53297439	4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone
	4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone;;4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanone;;NNK-N-oxide	todo2	C10H13N3O3	223.095691	NA	C19602	156652	4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone
	dIMP	Nucleotides	C10H13N4O7P	332.0521853	HMDB06555	C06196	91531	dIMP
	6-Thioinosine-5-monophosphate;;9-(5-Phospho-1-ribofuranosyl)-6-mercaptopurine	todo2	C10H13N4O7PS	364.024256	NA	C04646	3034391	"6-Thioinosine monophosphate"
	IMP	Nucleotides	C10H13N4O8P	348.0471	HMDB00175	C00130	8582	IMP
	"6-Thioxanthine 5-monophosphate"	todo2	C10H13N4O8PS	380.019171	NA	C16618	3081384	"6-Thioxanthine monophosphate"
	XMP	Nucleotides	C10H13N4O9P	364.042015	HMDB01554	C00655	73323	XMP
	N6-(delta2-Isopentenyl)-adenine;;N6-(3-Methylbut-2-enyl)adenine;;6-(gamma,gamma-Dimethylallylamino)purine;;N6-Dimethylallyladenine	todo2	C10H13N5	203.117095	NA	C04083	92180	N6-(delta2-Isopentenyl)-adenine
x	Zeatin;;N6-(4-Hydroxyisopentenyl)adenine;;(E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol;;trans-Zeatin	todo2	C10H13N5O	219.11201	HMDB12204	C00371	449093	Zeatin
x	cis-Zeatin;;(Z)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol	todo2	C10H13N5O	219.11201	NA	C15545	688597	Zeatin
	2-deoxyadenosine	Nucleotides	C10H13N5O3	251.101839	HMDB00101	C00559	13730	2-deoxyadenosine
	Cordycepin	Xenobiotics	C10H13N5O3	251.101839		C08431	6303	Cordycepin
	2-deoxyguanosine	Nucleotides	C10H13N5O4	267.096754	HMDB00085	C00330	187790	2-deoxyguanosine
	Adenosine	Nucleotides	C10H13N5O4	267.096754	HMDB00050	C00212	60961	Adenosine
	Guanosine	Nucleotides	C10H13N5O5	283.091669	HMDB00133	C00387	6802	Guanosine
	(R)-2-Methylimino-1-phenylpropan-1-ol	todo2	C10H13NO	163.099714	NA	C04351	656502	(R)-2-Methylimino-1-phenylpropan-1-ol
	L-Homophenylalanine	todo2	C10H13NO2	179.094629	NA	C17235	2724505	L-Homophenylalanine
	"2-Phenyl-1,3-propanediol monocarbamate"	todo2	C10H13NO3	195.089543	NA	C16586	213060	"2-Phenyl-1,3-propanediol monocarbamate"
	Arogenate	todo	C10H13NO5	227.079373		C00826	439319	Arogenate
	5-O-(1-Carboxyvinyl)-3-phosphoshikimate;;O5-(1-Carboxyvinyl)-3-phosphoshikimate	todo2	C10H13O10P	324.024633	NA	C01269	439463	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
	p-Cymene	todo2	C10H14	134.10955	HMDB05805	C06575	7463	p-Cymene
	Anabasine	todo2	C10H14N2	162.115698	HMDB04350	C06180	2181	Anabasine
	(R,S)-Nicotine;;(+-)-3-(1-Methyl-2-pyrrolidinyl)pyridine	todo2	C10H14N2	162.115698	HMDB14330	C16150	942	Nicotine
x	(S)-6-Hydroxynicotine	todo2	C10H14N2O	178.110613	NA	C01056	439383	Hydroxynicotine
x	(R)-6-Hydroxynicotine	todo2	C10H14N2O	178.110613	NA	C03043	439886	Hydroxynicotine
	Glycinexylidide;;GX	todo2	C10H14N2O	178.110613	NA	C16569	87833	Glycinexylidide
	6-Hydroxypseudooxynicotine;;1-(6-Hydroxypyridin-3-yl)-4-(methylamino)butan-1-one	todo2	C10H14N2O2	194.105528	NA	C01297	439476	6-Hydroxypseudooxynicotine
	2,6-Dihydroxypseudooxynicotine;;1-(2,6-Dihydroxypyridin-3-yl)-4-(methylamino)butan-1-one	todo2	C10H14N2O3	210.100442	NA	C15986	54723871	2,6-Dihydroxypseudooxynicotine
	Porphobilinogen	"Amino acids"	C10H14N2O4	226.095357	HMDB00245	C00931	1021	Porphobilinogen
	Northienamycin	todo2	C10H14N2O4S	258.067428	NA	C17369	132448	Northienamycin
	Thymidine	Nucleotides	C10H14N2O5	242.090272	HMDB00273	C00214	5789	Thymidine
	5-methyluridine	Nucleotides	C10H14N2O6	258.085186	HMDB00884		445408	5-methyluridine
	(1-Ribosylimidazole)-4-acetate	todo2	C10H14N2O6	258.085186	HMDB02331	C05131	440569	(1-Ribosylimidazole)-4-acetate
	"dIDP;;2-Deoxyinosine-5-diphosphate;;2-Deoxyinosine 5-diphosphate"	todo2	C10H14N4O10P2	412.018516	HMDB03536	C01344	439488	dIDP
	"6-Mercaptopurine ribonucleoside 5-diphosphate;;6-Thioinosine-5-diphosphate"	todo2	C10H14N4O10P2S	443.990587	NA	C16616	3038401	"6-Mercaptopurine ribonucleoside 5-diphosphate"
	IDP	Nucleotides	C10H14N4O11P2	428.013431	HMDB03335	C00104	644173	IDP
	"Adenylyl sulfate"	todo	C10H14N5O10PS	427.019899	HMDB01003	C00224	10238	"Adenylyl sulfate"
	Adenylylselenate;;Adenosine-5-phosphoselenate	todo2	C10H14N5O10PSe	470.967042	HMDB04112	C05686	440758	Adenylylselenate
	dAMP	Nucleotides	C10H14N5O6P	331.06817	HMDB00905	C00360	12599	dAMP
	Molybdopterin;;Pyranopterin;;H2Dtpp-mP	todo2	C10H14N5O6PS2	395.012312	HMDB02206	C05924	444331	Molybdopterin
x	2-AMP	Nucleotides	C10H14N5O7P	347.063084	HMDB11617	C00946	53481006	AMP
x	3-AMP	Nucleotides	C10H14N5O7P	347.063084	HMDB03540	C01367	41211	AMP
x	AMP	Nucleotides	C10H14N5O7P	347.063084	HMDB00045	C00020	6083	AMP
	dGMP	Nucleotides	C10H14N5O7P	347.063084	HMDB01044	C00362	65059	dGMP
	"6-Thioguanosine monophosphate"	todo2	C10H14N5O7PS	379.035155	NA	C16619	3034646	"6-Thioguanosine monophosphate"
x	GMP	Nucleotides	C10H14N5O8P	363.057999	HMDB01397	C00144	761	GMP
x	"Guanosine 3-phosphate;;3-GMP;;3-Guanylic acid;;Guo-3-P;;Gp"	todo2	C10H14N5O8P	363.057999	NA	C06193	8339	GMP
x	"Precursor Z;;Cyclic pyranopterin monophosphate;;Cyclic pyranopterin phosphate;;cPMP"	todo2	C10H14N5O8P	363.057999	NA	C18239	16061579	GMP
	"Parathion;;O,O-Diethyl O-p-nitrophenyl phosphorothioate;;Thiophos;;DNTP"	todo2	C10H14NO5PS	291.03303	HMDB01355	C06604	991	Parathion
	"Paraoxon;;O,O-Diethyl-O-p-nitrophenylphosphoric acid"	todo2	C10H14NO6P	275.055874	HMDB13035	C06606	9395	Paraoxon
	"Cumic alcohol"	todo	C10H14O	150.104465	HMDB18379;HMDB31817	C06576	325	"Cumic alcohol"
x	(-)-Carvone;;(4R)-Carvone	todo2	C10H14O	150.104465	HMDB35089	C01767	439570	Carvone
	(-)-Isopiperitenone;;(-)-(4R)-Isopiperitenone	todo2	C10H14O	150.104465	NA	C02485	439733	(-)-Isopiperitenone
	"Perillyl aldehyde;;Perillaldehyde"	todo2	C10H14O	150.104465	HMDB03647	C02576	16441	"Perillyl aldehyde"
	Pinocarvone	todo2	C10H14O	150.104465	HMDB35761	C09884	121719	Pinocarvone
x	(+)-(S)-Carvone;;Carvol;;(+)-Carvone;;Carvone	todo2	C10H14O	150.104465	HMDB04487	C11383	16724	Carvone
	Myrtenal	todo2	C10H14O	150.104465	HMDB21651	C11939	61130	Myrtenal
	(+)-Menthofuran;;(R)-Menthofuran	todo2	C10H14O	150.104465	NA	C18025	442478	(+)-Menthofuran
	"Perillic acid"	todo2	C10H14O2	166.09938	HMDB04586	C11924	1256	"Perillic acid"
	"Myrtenic acid;;6,6-Dimethylbicyclo[3.1.1]hept-2-ene-2-carboxylic acid"	todo2	C10H14O2	166.09938	NA	C11940	86840	"Myrtenic acid"
	(6E)-8-Oxogeranial;;10-Oxogeranial;;8-Oxogeranial	todo2	C10H14O2	166.09938	NA	C17622	11073781	(6E)-8-Oxogeranial
	Iridotrial;;(1S,2R,3S)-2-Formyl-alpha-(hydroxymethylene)-3-methylcyclopentaneacetaldehyde	todo2	C10H14O3	182.094294	NA	C06070	53297344	Iridotrial
	Dihydroxy-dihydro-cumate	todo	C10H14O4	198.089209		C06579	441088	Dihydroxy-dihydro-cumate
	dTMP	Nucleotides	C10H15N2O8P	322.056602	HMDB01227	C00364	9700	dTMP
	1-(5-Phosphoribosyl)imidazole-4-acetate	todo2	C10H15N2O9P	338.051517	HMDB06032	C04437	440341	1-(5-Phosphoribosyl)imidazole-4-acetate
	Phosphonoformyl-CMP	todo2	C10H15N3O12P2	431.013096	NA	C17945	16126819	Phosphonoformyl-CMP
	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol;;NNAL	todo2	C10H15N3O2	209.116427	HMDB41809	C19574	104856	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol
	1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol	todo2	C10H15N3O3	225.111341	NA	C19577	53297440	1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol
	alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol	todo2	C10H15N3O3	225.111341	NA	C19580	53297441	alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol
	4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol;;NNAL-N-oxide	todo2	C10H15N3O3	225.111341	HMDB41953	C19603	150097	4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol
	5-methylcytidine	Nucleotides	C10H15N3O5	257.101171	HMDB00982		92918	5-methylcytidine
	"dITP;;2-Deoxyinosine-5-triphosphate;;2-Deoxyinosine 5-triphosphate"	todo2	C10H15N4O13P3	491.984846	HMDB03537	C01345	146302	dITP
	"6-Mercaptopurine ribonucleoside triphosphate;;6-Thioinosine-5-triphosphate"	todo2	C10H15N4O13P3S	523.956917	NA	C16617	3036942	"6-Mercaptopurine ribonucleoside triphosphate"
	ITP	Nucleotides	C10H15N4O14P3	507.979761	HMDB00189	C00081	8583	ITP
	XTP	Nucleotides	C10H15N4O15P3	523.974676	HMDB00293	C00700	439296	XTP
	FAICAR	todo	C10H15N4O9P	366.057665	HMDB01439	C04734	166760	FAICAR
	Dihydrozeatin;;2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol;;N6-(4-Hydroxyisopentanyl)adenine	todo2	C10H15N5O	221.12766	HMDB12215	C02029	439631	Dihydrozeatin
x	ADP	Nucleotides	C10H15N5O10P2	427.029415	HMDB01341	C00008	6022	ADP
x	"Adenosine 3,5-diphosphate"	Nucleotides	C10H15N5O10P2	427.029415	HMDB00061	C00054	159296	ADP
	dGDP	Nucleotides	C10H15N5O10P2	427.029415	HMDB00960	C00361	439220	dGDP
	GDP	Nucleotides	C10H15N5O11P2	443.02433	HMDB01201	C00035	8977	GDP
	"Phosphoadenylyl sulfate"	todo	C10H15N5O13P2S	506.98623	HMDB01134	C00053	10214	"Phosphoadenylyl sulfate"
	dADP	Nucleotides	C10H15N5O9P2	411.0345	HMDB01508	C00206	53477733	dADP
x	Ephedrine;;(-)-Ephedrine;;L-Ephedrine	todo2	C10H15NO	165.115364	HMDB13708	C01575	9294	Ephedrine
x	(+)-Pseudoephedrine;;Pseudoephedrine	todo2	C10H15NO	165.115364	HMDB14990	C02765	7028	Ephedrine
	Hordenine;;4-[2-(Dimethylamino)ethyl]phenol	todo2	C10H15NO	165.115364	HMDB04366	C06199	68313	Hordenine
	L-Metanephrine	todo2	C10H15NO3	197.105193	HMDB04063	C05588	688084	L-Metanephrine
	(-)-Limonene;;(-)-(S)-Limonene;;(-)-(4S)-Limonene	todo2	C10H16	136.125201	HMDB03375	C00521	439250	Limonene
	Myrcene;;beta-Myrcene	todo2	C10H16	136.125201	HMDB38169	C06074	31253	Myrcene
	Comphene;;Camphene	todo2	C10H16	136.125201	NA	C06076	6616	Comphene
	d-Limonene;;(+)-Limonene;;(+)-(R)-Limonene;;(+)-(4R)-Limonene	todo2	C10H16	136.125201	HMDB04321	C06099	440917	Limonene
x	(-)-beta-Pinene;;(1S,5S)-6,6-Dimethyl-2-methylenebicyclo[3.1.1]heptane	todo2	C10H16	136.125201	HMDB36559	C06307	440967	Pinene
x	(-)-alpha-Pinene;;(1S,5S)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	todo2	C10H16	136.125201	HMDB35658	C06308	440968	Pinene
	alpha-Pinene	todo2	C10H16	136.125201	HMDB35653	C09880	6654	alpha-Pinene
	dTDP	Nucleotides	C10H16N2O11P2	402.022933	HMDB01274	C00363	164628	dTDP
	Biotin	"Cofactors and vitamins"	C10H16N2O3S	244.088163	HMDB00030	C00120	171548	Biotin
	Pro-hydroxy-pro	Peptides	C10H16N2O4	228.111007	HMDB06695		11673055	Pro-hydroxy-pro
	"Biotin sulfoxide"	todo2	C10H16N2O4S	260.083078	NA	C20386	83833	"Biotin sulfoxide"
	"Biotin sulfone"	todo2	C10H16N2O5S	276.077993	NA	C20387	83863	"Biotin sulfone"
	"Gamma-glutamylglutamic acid"	Peptides	C10H16N2O7	276.095751	HMDB11737	C05282	92865	"Gamma-glutamylglutamic acid"
	Glutathioselenol;;GSSeH	todo2	C10H16N3O6SSe	381.995195	NA	C18871	53297413	Glutathioselenol
	Deoxy-5-methylcytidylate	Nucleotides	C10H16N3O7P	321.0726		C03495	102276	Glutathioselenol
	"5-Hydroxymethyldeoxycytidylate;;5-Hydroxymethyldeoxycytidylic acid;;2-Deoxy-5-hydroxymethylcytidine 5-phosphate"	todo2	C10H16N3O8P	337.067501	NA	C03997	440189	5-Hydroxymethyldeoxycytidylate
	"Inosine 5-tetraphosphate"	todo2	C10H16N4O17P4	587.946092	NA	C03614	440063	"Inosine tetraphosphate"
	Homocarnosine	Peptides	C10H16N4O3	240.12224	HMDB00745	C00884	10243361	Homocarnosine
	Anserine	"Amino acids"	C10H16N4O3	240.122240398	HMDB00194	C01262	112072	
	dATP	Nucleotides	C10H16N5O12P3	491.000831	HMDB01532	C00131	15993	dATP
	ATP	Nucleotides	C10H16N5O13P3	506.995745	HMDB00538	C00002	5957	ATP
	dGTP	Nucleotides	C10H16N5O13P3	506.995745	HMDB01440	C00286	65103	dGTP
	GTP	Nucleotides	C10H16N5O14P3	522.99066	HMDB01273	C00044	6830	GTP
	2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	todo2	C10H16N5O9P	381.068564	NA	C15563	5460646	2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one
	Aminoparathion	todo2	C10H16NO3PS	261.058851	HMDB01504	C06605	220	Aminoparathion
x	(-)-trans-Carveol	todo2	C10H16O	152.120115	HMDB03450	C00964	94221	Carveol
	(-)-trans-Isopiperitenol	todo2	C10H16O	152.120115	NA	C01123	439410	(-)-trans-Isopiperitenol
	"Perillyl alcohol;;(-)-Perillyl alcohol;;p-Mentha-1,8-dien-7-ol;;(-)-Perillylalcohol"	todo2	C10H16O	152.120115	HMDB03634	C02452	369312	"Perillyl alcohol"
	alpha-Pinene-oxide	todo2	C10H16O	152.120115	HMDB03667	C02759	439800	alpha-Pinene-oxide
	(Z)-2-Methyl-5-isopropylhexa-2,5-dienal;;cis-2-Methyl-5-isopropylhexa-2,5-dienal	todo2	C10H16O	152.120115	NA	C04435	5280680	(Z)-2-Methyl-5-isopropylhexa-2,5-dienal
	"Limonene-1,2-epoxide;;Limonene oxide;;(4R)-Limonene-1,2-epoxide"	todo2	C10H16O	152.120115	HMDB35158	C07271	441245	Limonene-1,2-epoxide
	cis-Citral;;Neral	todo2	C10H16O	152.120115	NA	C09847	643779	cis-Citral
	Pulegone;;(+)-Pulegone	todo2	C10H16O	152.120115	HMDB22032	C09893	442495	Pulegone
x	(4R,6R)-cis-Carveol	todo2	C10H16O	152.120115	HMDB36082	C11395	330573	Carveol
x	(1R,4R)-Dihydrocarvone	todo2	C10H16O	152.120115	NA	C11398	22227	Dihydrocarvone
x	(1S,4R)-Iso-dihydrocarvone	todo2	C10H16O	152.120115	NA	C11401	443167	Dihydrocarvone
x	(4S,6S)-cis-Carveol	todo2	C10H16O	152.120115	HMDB35622	C11408	443177	Carveol
x	(+)-trans-Carveol;;(4S,6R)-trans-Carveol	todo2	C10H16O	152.120115	NA	C11409	443178	Carveol
x	(1R,4S)-Iso-dihydrocarvone	todo2	C10H16O	152.120115	NA	C11412	443181	Dihydrocarvone
x	(1S,4S)-Dihydrocarvone	todo2	C10H16O	152.120115	HMDB22568	C11415	443183	Dihydrocarvone
	Myrtenol;;2-Pinen-10-ol	todo2	C10H16O	152.120115	HMDB21520	C11938	10582	Myrtenol
	Pinocarveol	todo2	C10H16O	152.120115	HMDB35743	C11941	102667	Pinocarveol
	trans-2-Methyl-5-isopropylhexa-2,5-dienal	todo2	C10H16O	152.120115	NA	C11942	5281994	trans-2-Methyl-5-isopropylhexa-2,5-dienal
	(+)-cis-Isopulegone	todo2	C10H16O	152.120115	NA	C11951	443529	(+)-cis-Isopulegone
	(4S)-Limonene-1,2-epoxide	todo2	C10H16O	152.120115	NA	C19081	10953718	(4S)-Limonene-1,2-epoxide
	Iridodial;;cis-trans-Iridodial	todo2	C10H16O2	168.11503	NA	C06069	92042747	Iridodial
x	(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone	todo2	C10H16O2	168.11503	NA	C11402	443168	4-isopropenyl-methyl-oxo-oxepanone
x	(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone	todo2	C10H16O2	168.11503	NA	C11403	443169	4-isopropenyl-methyl-oxo-oxepanone
x	(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone;;4-Isopropenyl-7-methyloxepan-2-one	todo2	C10H16O2	168.11503	NA	C11414	443182	4-isopropenyl-methyl-oxo-oxepanone
x	(3S,6S)-6-Isopropenyl-3-methyl-2-oxo-oxepanone	todo2	C10H16O2	168.11503	NA	C11418	443187	4-isopropenyl-methyl-oxo-oxepanone
	(1S,4R)-1-Hydroxy-2-oxolimonene;;(1S,4R)-1-Hydroxymenth-8-en-2-one	todo2	C10H16O2	168.11503	NA	C11937	443522	(1S,4R)-1-Hydroxy-2-oxolimonene
x	"trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"	todo2	C10H16O2	168.11503	NA	C11943	5281995	"2-methylisopropylhexadienoic acid"
x	"cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid"	todo2	C10H16O2	168.11503	NA	C11944	5281996	"2-methylisopropylhexadienoic acid"
	"Geranic acid;;3,7-Dimethylocta-2,6-dienoate;;Geranate"	todo2	C10H16O2	168.11503	HMDB22594	C16461	5275520	"Geranic acid"
	(1R,4S)-1-Hydroxy-2-oxolimonene	todo2	C10H16O2	168.11503	NA	C19083	24883459	(1R,4S)-1-Hydroxy-2-oxolimonene
	(6E)-8-Oxolinalool;;trans-8-Oxolinalool	todo2	C10H16O2	168.11503	NA	C20221	15276226	(6E)-8-Oxolinalool
	1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one	todo2	C10H16O3	184.109944	NA	C04718	440456	1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one
	4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one	todo2	C10H16O3	184.109944	NA	C06066	138243	4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one
x	"(3R)-3-Isopropenyl-6-oxoheptanoate;;(3R)-3-Isopropenyl-6-oxoheptanoic acid"	todo2	C10H16O3	184.109944	NA	C11405	443189	Isopropenyl-oxoheptanoate
x	"(3S)-3-Isopropenyl-6-oxoheptanoate;;(3S)-3-Isopropenyl-6-oxoheptanoic acid"	todo2	C10H16O3	184.109944	NA	C11419	443173	Isopropenyl-oxoheptanoate
	(4R)-7-Hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone;;(4R)-7-Hydroxy-4-isopropenyl-7-methyloxepan-2-one	todo2	C10H16O3	184.109944	NA	C19079	53297421	(4R)-7-Hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone
